__label__aar	Afar
__label__abk	Abkhazian
__label__acw	Hijazi-Arabic
__label__afb	Gulf-Arabic
__label__afr	Afrikaans
__label__ajp	South-Levantine-Arabic
__label__akk	Akkadian
__label__ale	Aleut
__label__amh	Amharic
__label__ang	Old-English-(ca.-450-1100)
__label__aot	Atong-(India)
__label__ara	Arabic
__label__arc	Official-Aramaic-(700-300-BCE)
__label__arg	Aragonese
__label__ary	Moroccan-Arabic
__label__arz	Egyptian-Arabic
__label__asm	Assamese
__label__ast	Asturian
__label__ayl	Libyan-Arabic
__label__aze	Azerbaijani
__label__bak	Bashkir
__label__ban	Balinese
__label__bar	Bavarian
__label__bbl	Bats
__label__bbn	Uneapa
__label__bcl	Central-Bikol
__label__bdq	Bahnar
__label__ben	Bengali
__label__bjb	Banggarla
__label__bod	Tibetan
__label__bre	Breton
__label__bua	Buriat
__label__cat	Catalan
__label__cbn	Nyahkur
__label__ceb	Cebuano
__label__chb	Chibcha
__label__che	Chechen
__label__cho	Choctaw
__label__chr	Cherokee
__label__cic	Chickasaw
__label__ckb	Central-Kurdish
__label__cnk	Khumi-Chin
__label__cop	Coptic
__label__cor	Cornish
__label__cos	Corsican
__label__crk	Plains-Cree
__label__crx	Carrier
__label__csb	Kashubian
__label__dan	Danish
__label__deu	German
__label__div	Dhivehi
__label__dlm	Dalmatian
__label__dng	Dungan
__label__dsb	Lower-Sorbian
__label__dum	Middle-Dutch-(ca.-1050-1350)
__label__dzo	Dzongkha
__label__egy	Egyptian-(Ancient)
__label__ell	Modern-Greek-(1453-)
__label__enm	Middle-English-(1100-1500)
__label__epo	Esperanto
__label__est	Estonian
__label__ett	Etruscan
__label__eus	Basque
__label__evn	Evenki
__label__ewe	Ewe
__label__fao	Faroese
__label__fas	Persian
__label__fax	Fala
__label__fin	Finnish
__label__fra	French
__label__fro	Old-French-(842-ca.-1400)
__label__frr	Northern-Frisian
__label__fry	Western-Frisian
__label__gla	Scottish-Gaelic
__label__gle	Irish
__label__glg	Galician
__label__glv	Manx
__label__gml	Middle-Low-German
__label__goh	Old-High-German-(ca.-750-1050)
__label__got	Gothic
__label__grc	Ancient-Greek-(to-1453)
__label__grn	Guarani
__label__gsw	Swiss-German
__label__guj	Gujarati
